palabra,gematria,reduccion,traduccion,pagina
בראשית,913,13,enPrincipio,G4
ברא,203,5,creo,G4
אלהים,646,16,Dios,G4
את,401,5,**, G4
השמים,955,19,losCielos,G4
ואת,407,11,**y,G4
הארץ,1106,8,laTierra,G4
והארץ,1112,5,yLaTierra,G4
היתה,420,6,estaba,G4
תהו,411,6,informe,G4
ובהו,19,10,yVacia,G4
וחשך,814,13,yOscuridad,G4
על,100,1,sobre,G4
פני,140,5,fazDel,G4
תהום,1011,3,abismo,G4
ורוח,220,4,yEspirituDe,G4
אלהים,646,16,Dios,G4
מרחפת,728,17,volaba,G4
על,100,1,sobre,G4
פני,140,5,fazDe,G4
המים,655,15,lasAguas,G4
ויאמר,257,14,yDijo,G4
אלהים,646,16,Dios,G4
יהי,25,7,sea,G4
אור,207,9,luz,G4
ויהי,31,4,yFue,G4
אור,207,9,luz,G4
וירא,217,10,yVio,G4
אלהים,646,16,Dios,G4
את,401,5,**,G4
האור,212,5,laLuz,G4
כי,30,3,que,G4
טוב,17,8,buena,G4
ויבדל,52,7,ySeparo,G4
אלהים,646,16,Dios,G4
בין,712,10,entre,G4
האור,212,5,laLuz,G4
ובין,718,16,yEntre,G4
החשך,813,12,laOscuridad,G4
ויקרא,317,11,yLlamo,G4
אלהים,646,16,Dios,G4
לאור,317,11,aLaLuz,G4
יום,616,13,dia,G4
ולחשך,844,16,yALaOscuridad,G4
קרא,301,4,llamo,G4
לילה,75,12,noche,G4
ויהי,31,4,yFue,G4
ערב,272,11,tarde,G4
ויהי,31,4,yFue,G4
בקר,302,5,mañana,G4
יום,616,13,dia,G4
אחד,13,4,primero,G4
ויאמר,257,14,yDijo,G4
אלהים,646,16,Dios,G4
יהי,25,7,haya,G4
רקיע,380,11,expancion,G4
בתוך,988,25,entre,G4
המים,655,16,lasAguas,G4
ויהי,31,4,yHaya,G4
מבדיל,86,14,separacion,G4
בין,712,10,entre,G4
מים,650,11,aguas,G4
למים,680,14,deLasAguas,G4
ויעש,386,17,eHizo,G4
אלהים,646,16,Dios,G4
את,401,5,**,G4
הרקיע,385,16,laExpamcion,G4
ויבדל,52,7,ySeparo,G4
בין,712,10,entre,G4
המים,655,16,lasAguas,G4
אשר,501,6,que,G4
מתחת,848,20,deDebajo,G4
לרקיע,410,5,deLaExpancion,G4
ובין,718,16,yEntre,G4
המים,655,16,LasAguas,G4
אשר,501,6,que,G4
מעל,140,5,deSobre,G4
לרקיע,410,5,deLaExpamcion,G4
ויהי,31,4,yFue,G4
כן,720,9,asi,G4
ויקרא,317,11,yLlamo,G4
אלהים,646,16,Dios,G4
לרקיע,410,5,aLaExpansion,G4
שמים,950,14,cielos,G4
ויהי,31,4,yFue,G4
ערב,272,11,tarde,G4
ויהי,31,4,yFue,G4
בקר,302,5,mañana,G4
יום,616,13,dia,G4
שני,360,9,segundo,G4
ויאמר,257,14,yDijo,G4
אלהים,646,16,Dios,G4
יקוו,122,5,reunanse,G4
המים,655,16,lasAguas,G4
מתחת,848,20,deDebajo,G4
השמים,955,19,losCielos,G4
אל,31,4,a,G4
מקום,746,17,lugar,G4
אחד,13,4,uno,G4
ותראה,612,9,yAparezca,G4
היבשה,322,7,laTierraSeca,G4
ויהי,31,4,yFue,G4
כן,720,9,asi,G4
ויקרא,317,11,yLlamo,G4
אלהים,646,16,Dios,G4
ליבשה,347,14,aLaTierraSeca,G4
ארץ,1101,3,tierra,G4
ולמקוה,187,16,yalConjuntoDe,G4
המים,655,16,lasAguas,G4
קרא,301,4,llamo,G4
ימים,660,12,mares,G4
וירא,217,10,yVio,G4
אלהים,646,16,Dios,G4
כי,30,3,que,G4
טוב,17,8,bueno,G4
ויאמר,257,14,yDijo,G4
אלהים,646,16,Dios,G4
בדשא,307,10,produzca,G4
הארץ,1106,8,laTierra,G4
דשא,305,8,hierba,G4
עשב,372,12,planta,G4
מזריע,327,12,conSemilla,G4
זרע,227,11,semilla,G4
עץ,970,16,arbol,G4
פרי,290,11,frutal,G4
עשה,375,15,productor,G4
פרי,290,11,fruto,G4 
למינו,136,10,paraSuClase,G4
אשר,501,6,que,G4
זרעו,283,13,suSemilla,G4
בו,8,8,enEl,G4
על,100,1,sobre,G4
הארץ,1106,8,laTierra,G4
ויהי,31,4,yFue,G4
כן,720,9,asi,G4
ותוצא,503,8,yProdujo,G4
הארץ,1106,8,laTierra,G4
דשא,305,8,hierba,G4
עשב,372,12,planta,G4
מזריע,327,12,conSemilla,G4
זרע,227,11,semilla,G4
למינהו,141,6,paraSuEspecie,G4
ועץ,976,22,yArbol,G4
עשה,375,15,productor,G4
פרי,290,11,fruto,G4
אשר,501,6,que,G4
זרעו,283,5,suSemilla,G4
בו,8,8,enEl,G4
למינהו,141,6,paraSuEspecie,G4
וירא,217,10,yVio,G4
אלהים,646,16,Dios,G4
כי,30,3,que,G4
טוב,17,8,bueno,G4
ויהי,31,4,yFue,G4
ערב,272,11,tarde,G4
ויהי,31,4,yFue,G4
בקר,302,5,mañana,G4
יום,616,13,dia,G4
שלישי,650,11,tercero,G4
ויאמר,257,14,yDijo,G6
אלהים,646,16,Dios,G6
יהי,25,7,haya,G6
מארת,641,11,luces,G6
ברקיע,382,13,enLaExpancionDe,G6
השמים,955,19,losCielos,G6
להבדיל,81,9,paraSeparar,G6
בין,712,10,entre,G6
היום,621,9,elDia,G6
ובין,718,16,yEntre,G6
הלילה,80,8,laNoche,G6
והיו,27,9,ySean,G6
לאתת,831,12,paraSeñales,G6
ולמועדים,766,19,yParaEstaciones,G6
ולימים,696,21,yParaDias,G6
ושנים,966,21,yAños,G6
והיו,27,9,ySean,G6
למאורת,677,20,paraLuces,G6
ברקיע,382,13,enLaExpancionDe,G6
השמים,955,19,losCielos,G6
להאיר,246,12,paraAlumbrar,G6
על,100,1,sobre,G6
הארץ,1106,8,laCiudad,G6
ויהי,31,4,yFue,G6
כן,720,9,asi,G6
ויעש,386,17,eHizo,G6
אלהים,646,16,Dios,G6
את,401,5,**,G6
שני,360,9,dosDe,G6
המארת,646,16,lasLuces,G6
הגדלים,652,13,lasgrandes,G6
את,401,5,**,G6
המאור,252,9,laLuz,G6
הגדל,42,6,LaGrande,G6
לממשלת,840,20,paraGobernar,G6
היום,621,9,elDia,G6
ואת,407,11,y**,G6
המאור,252,9,laLuz,G6
הקטן,814,13,laPequeña,G6
לממשלת,814,13,paraGobernar,G6
הלילה,80,8,laNoche,G6
ואת,407,11,y**,G6
הכוכבים,663,15,lasEstrellas,G6
ויתן,1116,9,yPuso,G6
אתם,1001,2,ellas,G6
אלהים,646,16,Dios,G6
ברקיע,382,13,enLaExpancion,G6
השמים,955,19,losCielos,G6
להאיר,246,12,paraalumbrar,G6
על,100,1,sobre,G6
הארץ,1106,8,latierra,G6
ולמשל,406,10,yParaGobernar,G6
ביום,618,15,enElDia,G6
